B Normalized link matrix: 

      to\from| Athanasiadou | Blionas      | Boucouvalas  | Glentis      | Kaloxylos    | Kolokotronis | Koutras      | Lepouras     | Malamatos    | Maras        | Masselos     | Moscholios   | Peppas       | Platis       | Politi       | Sagias       | Simos        | Skiadopoulos | Stavdas      | Tryfonopoulos| Tselikas     | Tsoulos      | Vassilakis   | Vlachos      | Wallace      | Yiannopoulos | 
 Skiadopoulos| 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.44444445   | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 
      Stavdas| 0.0          | 0.0          | 0.03448276   | 0.33333334   | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.90909094   | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 
Tryfonopoulos| 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.045454547  | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.33333334   | 0.0          | 0.0          | 0.0          | 1.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.044444446  | 0.0          | 0.0          | 0.0          | 
     Tselikas| 0.0          | 0.0          | 0.20689656   | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.11111111   | 0.0          | 0.0          | 0.1904762    | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.05882353   | 0.0          | 0.0          | 0.0          | 0.0          | 
      Tsoulos| 1.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.09090909   | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 
   Vassilakis| 0.0          | 0.0          | 0.03448276   | 0.0          | 0.0          | 0.0          | 0.0          | 0.9318182    | 0.0          | 0.0          | 0.0          | 0.6315789    | 0.0          | 0.33333334   | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.22222222   | 0.0          | 0.0          | 0.0          | 0.0          | 1.0          | 0.0          | 
      Vlachos| 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 1.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.22222222   | 
      Wallace| 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.022222223  | 0.0          | 0.0          | 0.0          | 
 Yiannopoulos| 0.0          | 0.0          | 0.31034482   | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.23809524   | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 

Note: Yiannopoulos has as co-author someone with the same last name of Mr. D.S.Vlachos this happens because I considering only for the surnames. 
